employee_id,year,Jan_present_days,Jan_absent_days,Jan_total_working_days,Jan_projects_completed,Jan_project_performance,Feb_present_days,Feb_absent_days,Feb_total_working_days,Feb_projects_completed,Feb_project_performance,Mar_present_days,Mar_absent_days,Mar_total_working_days,Mar_projects_completed,Mar_project_performance,Apr_present_days,Apr_absent_days,Apr_total_working_days,Apr_projects_completed,Apr_project_performance,May_present_days,May_absent_days,May_total_working_days,May_projects_completed,May_project_performance,Jun_present_days,Jun_absent_days,Jun_total_working_days,Jun_projects_completed,Jun_project_performance,Jul_present_days,Jul_absent_days,Jul_total_working_days,Jul_projects_completed,Jul_project_performance,Aug_present_days,Aug_absent_days,Aug_total_working_days,Aug_projects_completed,Aug_project_performance,Sep_present_days,Sep_absent_days,Sep_total_working_days,Sep_projects_completed,Sep_project_performance,Oct_present_days,Oct_absent_days,Oct_total_working_days,Oct_projects_completed,Oct_project_performance,Nov_present_days,Nov_absent_days,Nov_total_working_days,Nov_projects_completed,Nov_project_performance,Dec_present_days,Dec_absent_days,Dec_total_working_days,Dec_projects_completed,Dec_project_performance
EMP00001,2022,22,0,22,5,74,21,1,22,4,74,18,2,20,1,95,23,0,23,5,69,20,0,20,5,95,18,3,21,3,82,22,0,22,5,91,19,1,20,1,63,20,1,21,4,73,22,1,23,5,84,19,1,20,1,84,22,0,22,1,77
EMP00002,2022,21,2,23,3,89,22,0,22,5,64,18,2,20,2,95,20,2,22,2,81,21,0,21,1,94,21,2,23,2,86,18,3,21,2,93,21,2,23,2,81,19,3,22,2,65,22,0,22,4,85,20,1,21,4,67,21,0,21,3,86
EMP00003,2022,19,2,21,4,69,20,2,22,2,71,23,0,23,4,93,20,3,23,1,93,20,1,21,1,93,20,3,23,4,100,21,0,21,1,86,22,0,22,4,76,21,0,21,4,88,22,1,23,4,75,19,1,20,1,67,20,3,23,3,85
EMP00004,2022,19,2,21,5,79,18,2,20,5,73,18,2,20,1,82,22,0,22,3,89,17,3,20,3,77,19,1,20,3,86,18,3,21,2,65,19,1,20,5,62,21,0,21,2,80,20,3,23,3,68,17,3,20,2,76,21,2,23,3,92
EMP00005,2022,19,2,21,5,69,22,1,23,3,100,19,2,21,1,63,21,0,21,2,82,21,2,23,2,80,19,3,22,1,78,20,3,23,5,93,23,0,23,1,98,22,0,22,2,98,19,3,22,3,81,23,0,23,5,88,19,1,20,5,99
EMP00006,2022,21,1,22,3,89,23,0,23,4,84,17,3,20,5,66,21,2,23,5,73,21,1,22,4,68,19,1,20,3,76,21,0,21,5,74,19,3,22,1,83,18,3,21,5,72,18,3,21,3,89,19,2,21,2,70,20,0,20,3,93
EMP00007,2022,21,2,23,4,95,19,3,22,1,82,19,1,20,5,98,21,0,21,4,72,19,1,20,1,71,20,0,20,2,89,18,3,21,5,76,21,2,23,4,99,19,3,22,3,61,21,0,21,2,63,22,0,22,3,81,21,2,23,4,79
EMP00008,2022,19,3,22,5,64,20,0,20,3,66,20,1,21,5,75,22,1,23,4,92,20,2,22,1,70,21,2,23,2,62,20,3,23,4,73,20,1,21,3,75,20,0,20,2,94,21,0,21,3,94,19,1,20,3,98,20,3,23,5,73
EMP00009,2022,21,2,23,2,66,19,1,20,2,96,20,0,20,1,92,19,1,20,3,79,20,2,22,3,74,22,1,23,5,85,19,2,21,1,61,23,0,23,2,94,18,2,20,2,95,18,3,21,2,88,22,1,23,4,64,19,3,22,2,96
EMP00010,2022,23,0,23,4,68,21,0,21,1,71,22,0,22,5,63,20,3,23,2,62,19,2,21,5,77,22,0,22,4,94,18,3,21,5,91,21,2,23,4,81,18,2,20,3,71,18,2,20,2,71,17,3,20,3,81,19,3,22,3,64
